InvoiceDate,StockCode,units_sold,revenue,n_invoices,units_roll_7,revenue_roll_7,units_roll_14,revenue_roll_14,units_roll_30,revenue_roll_30,units_lag_1,units_lag_7,units_lag_14,day_of_week,day_of_month,month,quarter,is_weekend,is_dec
2023-05-09,SKU10000,6,61.800000000000004,3,14.0,143.98,8.71,89.65,6.33,65.18,3.0,2.0,2.0,1,9,5,2,0,0
2023-05-11,SKU10000,5,51.5,1,14.14,145.45,8.71,89.65,6.3,64.84,6.0,4.0,5.0,3,11,5,2,0,0
2023-05-12,SKU10000,1,10.3,1,13.86,142.51,8.43,86.7,6.23,64.15,5.0,3.0,5.0,4,12,5,2,0,0
2023-05-13,SKU10000,9,92.7,1,13.86,142.51,9.0,92.59,6.5,66.9,1.0,9.0,1.0,5,13,5,2,1,0
2023-05-14,SKU10000,4,41.2,1,13.29,136.62,9.0,92.59,6.5,66.9,9.0,8.0,4.0,6,14,5,2,1,0
2023-05-15,SKU10000,8,82.4,3,5.14,52.75,9.14,94.06,6.63,68.27,4.0,65.0,6.0,0,15,5,2,0,0
2023-05-16,SKU10000,3,30.9,1,5.14,52.97,9.29,95.53,6.53,67.24,8.0,3.0,1.0,1,16,5,2,0,0
2023-05-17,SKU10000,7,72.1,3,5.29,54.44,9.64,99.21,6.53,67.24,3.0,6.0,2.0,2,17,5,2,0,0
2023-05-18,SKU10000,5,51.5,1,5.29,54.44,9.71,99.95,6.67,68.62,7.0,5.0,4.0,3,18,5,2,0,0
2023-05-19,SKU10000,2,20.6,1,5.43,55.91,9.64,99.21,6.6,67.93,5.0,1.0,3.0,4,19,5,2,0,0
2023-05-22,SKU10000,2,20.6,2,4.43,45.61,9.14,94.06,6.5,66.9,2.0,9.0,9.0,0,22,5,2,0,0
2023-05-23,SKU10000,4,41.2,1,4.43,45.61,8.86,91.12,6.57,67.59,2.0,4.0,8.0,1,23,5,2,0,0
2023-05-24,SKU10000,15,154.5,4,5.43,55.91,5.29,54.33,6.87,70.68,4.0,8.0,65.0,2,24,5,2,0,0
2023-05-25,SKU10000,1,10.3,1,5.14,52.97,5.14,52.97,6.57,67.59,15.0,3.0,3.0,3,25,5,2,0,0
2023-05-27,SKU10000,4,41.2,2,4.71,48.56,5.0,51.5,6.6,67.93,1.0,7.0,6.0,5,27,5,2,1,0
2023-05-28,SKU10000,10,99.92,4,5.43,55.47,5.36,54.96,6.8,69.89,4.0,5.0,5.0,6,28,5,2,1,0
2023-05-29,SKU10000,1,10.3,1,5.29,54.0,5.36,54.96,6.77,69.54,10.0,2.0,1.0,0,29,5,2,0,0
2023-05-30,SKU10000,7,72.10000000000001,3,6.0,61.36,5.21,53.49,6.83,70.23,1.0,2.0,9.0,1,30,5,2,0,0
2023-05-31,SKU10000,5,51.5,3,6.14,62.83,5.29,54.22,6.83,70.23,7.0,4.0,4.0,2,31,5,2,0,0
2023-06-03,SKU10000,4,41.2,2,4.57,46.65,5.0,51.28,6.93,71.26,5.0,15.0,8.0,5,3,6,2,1,0
2023-06-05,SKU10000,1,10.3,1,4.57,46.65,4.86,49.81,6.83,70.23,4.0,1.0,3.0,0,5,6,2,0,0
2023-06-06,SKU10000,3,30.900000000000002,2,4.43,45.17,4.57,46.87,6.73,69.2,1.0,4.0,7.0,1,6,6,2,0,0
2023-06-08,SKU10000,3,30.9,1,3.43,35.31,4.43,45.39,6.8,69.89,3.0,10.0,5.0,3,8,6,2,0,0
2023-06-09,SKU10000,2,20.6,1,3.57,36.79,4.43,45.39,6.8,69.89,3.0,1.0,2.0,4,9,6,2,0,0
2023-06-10,SKU10000,3,30.900000000000002,2,3.0,30.9,4.5,46.13,6.77,69.54,2.0,7.0,2.0,5,10,6,2,1,0
2023-06-11,SKU10000,4,41.2,1,2.86,29.43,4.5,46.13,6.8,69.89,3.0,5.0,4.0,6,11,6,2,1,0
2023-06-12,SKU10000,5,51.5,3,3.0,30.9,3.79,38.77,6.67,68.51,4.0,4.0,15.0,0,12,6,2,0,0
2023-06-13,SKU10000,6,61.8,3,3.71,38.26,4.14,42.45,6.6,67.83,5.0,1.0,1.0,1,13,6,2,0,0
2023-06-14,SKU10000,4,41.2,3,3.86,39.73,4.14,42.45,4.57,46.88,6.0,3.0,4.0,2,14,6,2,0,0
2023-06-15,SKU10000,9,92.7,2,4.71,48.56,4.07,41.94,4.77,48.99,4.0,3.0,10.0,3,15,6,2,0,0
2023-06-17,SKU10000,1,10.3,1,4.57,47.09,4.07,41.94,4.6,47.28,9.0,2.0,1.0,5,17,6,2,1,0
2023-06-18,SKU10000,2,20.6,1,4.43,45.61,3.71,38.26,4.5,46.25,1.0,3.0,7.0,6,18,6,2,1,0
2023-06-19,SKU10000,2,20.6,1,4.14,42.67,3.5,36.05,4.53,46.59,2.0,4.0,5.0,0,19,6,2,0,0
2023-06-20,SKU10000,1,10.3,1,3.57,36.79,3.29,33.84,4.27,43.84,2.0,5.0,4.0,1,20,6,2,0,0
2023-06-21,SKU10000,4,41.2,2,3.29,33.84,3.5,36.05,4.27,43.84,1.0,6.0,1.0,2,21,6,2,0,0
2023-06-24,SKU10000,5,51.5,2,3.43,35.31,3.64,37.52,4.17,42.81,4.0,4.0,3.0,5,24,6,2,1,0
2023-06-25,SKU10000,1,10.3,1,2.29,23.54,3.5,36.05,4.1,42.13,5.0,9.0,3.0,6,25,6,2,1,0
2023-06-26,SKU10000,1,10.3,1,2.29,23.54,3.43,35.31,3.9,40.07,1.0,1.0,2.0,0,26,6,2,0,0
2023-06-27,SKU10000,109,1122.7,3,17.57,180.99,11.0,113.3,7.37,75.77,1.0,2.0,3.0,1,27,6,2,0,0
2023-06-28,SKU10000,12,123.6,4,19.0,195.7,11.57,119.19,7.7,79.21,109.0,2.0,4.0,2,28,6,2,0,0
2023-06-29,SKU10000,11,107.14,4,20.43,209.53,12.0,123.16,8.0,82.09,12.0,1.0,5.0,3,29,6,2,0,0
2023-06-30,SKU10000,5,51.5,1,20.57,211.01,11.93,122.42,8.03,82.44,11.0,4.0,6.0,4,30,6,2,0,0
2023-07-01,SKU10000,4,41.2,2,20.43,209.53,11.93,122.42,7.67,78.66,5.0,5.0,4.0,5,1,7,3,1,0
2023-07-03,SKU10000,7,72.1,3,21.29,218.36,11.79,120.95,7.87,80.72,4.0,1.0,9.0,0,3,7,3,0,0
2023-07-04,SKU10000,12,123.6,3,22.86,234.55,12.57,129.05,8.13,83.47,7.0,1.0,1.0,1,4,7,3,0,0
2023-07-05,SKU10000,9,92.7,3,8.57,87.41,13.07,134.2,8.1,83.22,12.0,109.0,2.0,2,5,7,3,0,0
2023-07-06,SKU10000,8,80.86000000000001,6,8.0,81.3,13.5,138.5,8.33,85.58,9.0,12.0,2.0,3,6,7,3,0,0
2023-07-07,SKU10000,6,61.8,3,7.29,74.82,13.86,142.18,8.3,85.23,8.0,11.0,1.0,4,7,7,3,0,0
2023-07-08,SKU10000,2,20.6,1,6.86,70.41,13.71,140.71,8.2,84.2,6.0,5.0,4.0,5,8,7,3,1,0
2023-07-09,SKU10000,5,51.5,2,7.0,71.88,13.71,140.71,8.23,84.55,2.0,4.0,5.0,6,9,7,3,1,0
2023-07-10,SKU10000,10,103.0,3,7.43,76.29,14.36,147.33,8.53,87.64,5.0,7.0,1.0,0,10,7,3,0,0
2023-07-11,SKU10000,5,51.5,2,6.43,65.99,14.64,150.27,8.6,88.32,10.0,12.0,1.0,1,11,7,3,0,0
2023-07-12,SKU10000,9,92.7,3,6.43,65.99,7.5,76.7,8.8,90.38,5.0,9.0,109.0,2,12,7,3,0,0
2023-07-13,SKU10000,5,51.5,3,6.0,61.8,7.0,71.55,8.9,91.41,9.0,8.0,12.0,3,13,7,3,0,0
2023-07-14,SKU10000,16,164.8,4,7.43,76.51,7.36,75.67,9.33,95.88,5.0,6.0,11.0,4,14,7,3,0,0
2023-07-15,SKU10000,9,92.7,2,8.43,86.81,7.64,78.61,9.5,97.59,16.0,2.0,5.0,5,15,7,3,1,0
2023-07-16,SKU10000,3,30.900000000000002,2,8.14,83.87,7.57,77.88,9.43,96.91,9.0,5.0,4.0,6,16,7,3,1,0
2023-07-17,SKU10000,6,61.800000000000004,4,7.57,77.99,7.5,77.14,9.43,96.91,3.0,10.0,7.0,0,17,7,3,0,0
2023-07-18,SKU10000,1,10.3,1,7.0,72.1,6.71,69.05,9.33,95.88,6.0,5.0,12.0,1,18,7,3,0,0
2023-07-19,SKU10000,8,82.4,4,6.86,70.63,6.64,68.31,9.3,95.53,1.0,9.0,9.0,2,19,7,3,0,0
2023-07-21,SKU10000,1,10.3,1,6.29,64.74,6.14,63.27,9.3,95.53,8.0,5.0,8.0,4,21,7,3,0,0
2023-07-22,SKU10000,2,20.6,1,4.29,44.14,5.86,60.33,9.3,95.53,1.0,16.0,6.0,5,22,7,3,1,0
2023-07-23,SKU10000,112,1153.6,5,19.0,195.7,13.71,141.26,12.97,133.3,2.0,9.0,2.0,6,23,7,3,1,0
2023-07-24,SKU10000,6,61.8,2,19.43,200.11,13.79,141.99,13.13,135.02,112.0,3.0,5.0,0,24,7,3,0,0
2023-07-25,SKU10000,14,144.2,3,20.57,211.89,14.07,144.94,13.47,138.45,6.0,6.0,10.0,1,25,7,3,0,0
2023-07-27,SKU10000,102,1050.6,3,35.0,360.5,21.0,216.3,16.7,171.75,14.0,1.0,5.0,3,27,7,3,0,0
2023-07-28,SKU10000,106,1087.18,5,49.0,504.04,27.93,287.33,20.2,207.65,102.0,8.0,9.0,4,28,7,3,0,0
2023-07-29,SKU10000,3,30.9,1,49.29,506.98,27.79,285.86,20.27,208.34,106.0,1.0,5.0,5,29,7,3,1,0
2023-07-31,SKU10000,14,144.2,6,51.0,524.64,27.64,284.39,17.1,175.72,3.0,2.0,16.0,0,31,7,3,0,0
2023-08-01,SKU10000,22,226.6,6,38.14,392.21,28.57,293.96,17.43,179.15,14.0,112.0,9.0,1,1,8,3,0,0
2023-08-02,SKU10000,20,206.0,5,40.14,412.81,29.79,306.46,17.73,182.45,22.0,6.0,3.0,2,2,8,3,0,0
2023-08-03,SKU10000,13,133.9,4,40.0,411.34,30.29,311.61,18.0,185.19,20.0,14.0,6.0,3,3,8,3,0,0
2023-08-04,SKU10000,13,133.9,4,27.29,280.38,31.14,320.44,18.3,188.28,13.0,102.0,1.0,4,4,8,3,0,0
2023-08-05,SKU10000,1,10.3,1,12.29,126.54,30.64,315.29,18.1,186.22,13.0,106.0,8.0,5,5,8,3,1,0
2023-08-06,SKU10000,7,72.1,3,12.86,132.43,31.07,319.71,17.93,184.51,1.0,3.0,1.0,6,6,8,3,1,0
2023-08-07,SKU10000,15,154.5,4,13.0,133.9,32.0,329.27,18.13,186.57,7.0,14.0,2.0,0,7,8,3,0,0
2023-08-08,SKU10000,9,92.7,4,11.14,114.77,24.64,253.49,18.17,186.96,15.0,22.0,112.0,1,8,8,3,0,0
2023-08-09,SKU10000,2,20.6,2,8.57,88.29,24.36,250.55,18.03,185.59,9.0,20.0,6.0,2,9,8,3,0,0
2023-08-10,SKU10000,10,103.0,2,8.14,83.87,24.07,247.61,18.3,188.34,2.0,13.0,14.0,3,10,8,3,0,0
2023-08-11,SKU10000,5,51.5,4,7.0,72.1,17.14,176.24,18.3,188.34,10.0,13.0,102.0,4,11,8,3,0,0
2023-08-12,SKU10000,10,103.0,2,8.29,85.34,10.29,105.94,18.3,188.34,5.0,1.0,106.0,5,12,8,3,1,0
2023-08-13,SKU10000,6,61.8,2,8.14,83.87,10.5,108.15,18.33,188.68,10.0,7.0,3.0,6,13,8,3,1,0
2023-08-15,SKU10000,15,152.96,5,8.14,83.65,10.57,108.78,18.53,190.69,6.0,15.0,14.0,1,15,8,3,0,0
2023-08-16,SKU10000,14,144.2,4,8.86,91.01,10.0,102.89,18.83,193.78,15.0,9.0,22.0,2,16,8,3,0,0
2023-08-17,SKU10000,17,175.1,7,11.0,113.08,9.79,100.68,18.87,194.12,14.0,2.0,20.0,3,17,8,3,0,0
2023-08-18,SKU10000,18,185.4,4,12.14,124.85,10.14,104.36,19.17,197.21,17.0,10.0,13.0,4,18,8,3,0,0
2023-08-20,SKU10000,31,305.44,9,15.86,161.13,11.43,116.61,20.1,206.36,18.0,5.0,13.0,6,20,8,3,1,0
2023-08-21,SKU10000,27,278.1,11,18.29,186.14,13.29,135.74,20.8,213.57,31.0,10.0,1.0,0,21,8,3,0,0
2023-08-22,SKU10000,6,61.800000000000004,2,18.29,186.14,13.21,135.01,20.97,215.29,27.0,6.0,7.0,1,22,8,3,0,0
2023-08-23,SKU10000,17,175.1,6,18.57,189.31,13.36,136.48,21.27,218.38,6.0,15.0,15.0,2,23,8,3,0,0
2023-08-24,SKU10000,8,82.4,2,17.71,180.48,13.29,135.74,21.5,220.78,17.0,14.0,9.0,3,24,8,3,0,0
2023-08-25,SKU10000,1,10.3,1,15.43,156.93,13.21,135.01,21.47,220.44,8.0,17.0,2.0,4,25,8,3,0,0
2023-08-26,SKU10000,6,61.800000000000004,2,13.71,139.28,12.93,132.06,17.93,184.05,1.0,18.0,10.0,5,26,8,3,1,0
2023-08-27,SKU10000,15,154.5,5,11.43,117.71,13.64,139.42,18.23,187.14,6.0,31.0,5.0,6,27,8,3,1,0
2023-08-28,SKU10000,1,10.3,1,7.71,79.46,13.0,132.8,17.8,182.67,15.0,27.0,10.0,0,28,8,3,0,0
2023-08-29,SKU10000,99,1019.7,3,21.0,216.3,19.64,201.22,17.7,181.64,1.0,6.0,6.0,1,29,8,3,0,0
2023-08-30,SKU10000,21,216.3,6,21.57,222.19,20.07,205.75,14.87,152.61,99.0,17.0,15.0,2,30,8,3,0,0
2023-08-31,SKU10000,9,92.7,4,21.71,223.66,19.71,202.07,15.07,154.67,21.0,8.0,14.0,3,31,8,3,0,0
2023-09-01,SKU10000,2,20.6,2,21.86,225.13,18.64,191.03,14.67,150.55,9.0,1.0,17.0,4,1,9,3,0,0
2023-09-02,SKU10000,7,72.1,1,22.0,226.6,17.86,182.94,14.17,145.4,2.0,6.0,18.0,5,2,9,3,1,0
2023-09-03,SKU10000,11,113.3,3,21.43,220.71,16.43,169.21,13.87,142.31,7.0,15.0,31.0,6,3,9,3,1,0
2023-09-04,SKU10000,6,61.8,1,22.14,228.07,14.93,153.76,13.63,139.91,11.0,1.0,27.0,0,4,9,3,0,0
2023-09-05,SKU10000,5,51.5,2,8.71,89.76,14.86,153.03,13.37,137.16,6.0,99.0,6.0,1,5,9,3,0,0
2023-09-06,SKU10000,14,144.2,6,7.71,79.46,14.64,150.82,13.8,141.63,5.0,21.0,17.0,2,6,9,3,0,0
2023-09-07,SKU10000,1,10.3,1,6.57,67.69,14.14,145.67,13.6,139.57,14.0,9.0,8.0,3,7,9,3,0,0
2023-09-08,SKU10000,7,72.10000000000001,3,7.29,75.04,14.57,150.09,13.33,136.82,1.0,2.0,1.0,4,8,9,3,0,0
2023-09-11,SKU10000,32,329.6,10,10.86,111.83,16.43,169.21,14.1,144.72,7.0,7.0,6.0,0,11,9,3,0,0
2023-09-12,SKU10000,7,72.1,3,10.29,105.94,15.86,163.33,14.27,146.43,32.0,11.0,15.0,1,12,9,3,0,0
2023-09-13,SKU10000,11,113.3,5,11.0,113.3,16.57,170.69,14.3,146.78,7.0,6.0,1.0,2,13,9,3,0,0
2023-09-14,SKU10000,4,41.2,2,10.86,111.83,9.79,100.79,14.27,146.43,11.0,5.0,99.0,3,14,9,3,0,0
2023-09-15,SKU10000,6,61.8,2,9.71,100.06,8.71,89.76,14.13,145.06,4.0,14.0,21.0,4,15,9,3,0,0
2023-09-16,SKU10000,10,103.0,4,11.0,113.3,8.79,90.49,14.27,146.43,6.0,1.0,9.0,5,16,9,3,1,0
2023-09-17,SKU10000,6,61.8,1,10.86,111.83,9.07,93.44,13.97,143.39,10.0,7.0,2.0,6,17,9,3,1,0
2023-09-19,SKU10000,5,51.5,1,7.0,72.1,8.93,91.96,13.67,140.3,6.0,32.0,7.0,1,19,9,3,0,0
2023-09-20,SKU10000,28,288.4,6,10.0,103.0,10.14,104.47,14.03,144.08,5.0,7.0,11.0,2,20,9,3,0,0
2023-09-21,SKU10000,11,111.75999999999999,5,10.0,102.78,10.5,108.04,13.8,141.63,28.0,11.0,6.0,3,21,9,3,0,0
2023-09-22,SKU10000,4,41.2,3,10.0,102.78,10.43,107.3,12.9,132.82,11.0,4.0,5.0,4,22,9,3,0,0
2023-09-23,SKU10000,61,628.3,2,17.86,183.71,13.79,141.88,14.03,144.49,4.0,6.0,14.0,5,23,9,3,1,0
2023-09-24,SKU10000,19,186.46,5,19.14,195.63,15.07,154.47,14.47,148.65,61.0,10.0,1.0,6,24,9,3,1,0
2023-09-25,SKU10000,6,61.8,3,19.14,195.63,15.0,153.73,14.1,144.87,19.0,6.0,7.0,0,25,9,3,0,0
2023-09-26,SKU10000,13,130.82,5,20.29,206.96,13.64,139.53,14.27,146.48,6.0,5.0,32.0,1,26,9,3,0,0
2023-09-27,SKU10000,14,139.58,7,18.29,185.7,14.14,144.35,14.7,150.79,13.0,28.0,7.0,2,27,9,3,0,0
2023-09-28,SKU10000,6,61.800000000000004,4,17.57,178.57,13.79,140.67,14.7,150.79,14.0,11.0,11.0,3,28,9,3,0,0
2023-09-29,SKU10000,11,113.3,5,18.57,188.87,14.29,145.82,14.57,149.42,6.0,4.0,4.0,4,29,9,3,0,0
2023-09-30,SKU10000,9,92.7,3,11.14,112.35,14.5,148.03,14.83,152.17,11.0,61.0,6.0,5,30,9,3,1,0
2023-10-01,SKU10000,70,721.0,1,18.43,188.71,18.79,192.17,13.87,142.21,9.0,19.0,10.0,6,1,10,4,1,0
2023-10-02,SKU10000,11,113.3,4,19.14,196.07,19.14,195.85,13.53,138.78,70.0,6.0,6.0,0,2,10,4,0,0
2023-10-03,SKU10000,27,275.02,6,21.14,216.67,20.71,211.82,14.13,144.85,11.0,13.0,5.0,1,3,10,4,0,0
2023-10-04,SKU10000,6,61.800000000000004,4,20.0,205.56,19.14,195.63,14.27,146.23,27.0,14.0,28.0,2,4,10,4,0,0
2023-10-05,SKU10000,19,195.7,8,21.86,224.69,19.71,201.63,14.67,150.35,6.0,6.0,11.0,3,5,10,4,0,0
2023-10-06,SKU10000,13,133.9,4,22.14,227.63,20.36,208.25,14.73,151.03,19.0,11.0,4.0,4,6,10,4,0,0
2023-10-07,SKU10000,3,30.900000000000002,2,21.29,218.8,16.21,165.58,14.63,150.0,13.0,9.0,61.0,5,7,10,4,1,0
2023-10-08,SKU10000,7,72.1,2,12.29,126.1,15.36,157.41,14.7,150.69,3.0,70.0,19.0,6,8,10,4,1,0
2023-10-09,SKU10000,8,80.86,3,11.86,121.47,15.5,158.77,14.5,148.58,7.0,11.0,6.0,0,9,10,4,0,0
2023-10-10,SKU10000,1,10.3,1,8.14,83.65,14.64,150.16,14.5,148.58,8.0,27.0,13.0,1,10,10,4,0,0
2023-10-11,SKU10000,17,175.1,5,9.71,99.84,14.86,152.7,14.83,152.01,1.0,6.0,14.0,2,11,10,4,0,0
2023-10-12,SKU10000,8,82.4,3,8.14,83.65,15.0,154.17,14.03,143.77,17.0,19.0,6.0,3,12,10,4,0,0
2023-10-13,SKU10000,11,113.3,4,7.86,80.71,15.0,154.17,14.17,145.15,8.0,13.0,11.0,4,13,10,4,0,0
2023-10-14,SKU10000,11,108.68,6,9.0,91.82,15.14,155.31,14.17,144.99,11.0,3.0,9.0,5,14,10,4,1,0
2023-10-15,SKU10000,4,41.2,3,8.57,87.41,10.43,106.75,14.17,144.99,11.0,7.0,70.0,6,15,10,4,1,0
2023-10-16,SKU10000,25,257.5,9,11.0,112.64,11.43,117.05,14.8,151.52,4.0,8.0,11.0,0,16,10,4,0,0
2023-10-17,SKU10000,15,154.5,5,13.0,133.24,10.57,108.45,14.97,153.23,25.0,1.0,27.0,1,17,10,4,0,0
2023-10-18,SKU10000,15,154.5,5,12.71,130.3,11.21,115.07,15.27,156.32,15.0,17.0,6.0,2,18,10,4,0,0
2023-10-19,SKU10000,18,185.39999999999998,5,14.14,145.01,11.14,114.33,15.7,160.79,15.0,8.0,19.0,3,19,10,4,0,0
2023-10-20,SKU10000,10,103.0,4,14.0,143.54,10.93,112.12,15.1,154.61,18.0,11.0,13.0,4,20,10,4,0,0
2023-10-21,SKU10000,6,61.8,3,13.29,136.84,11.14,114.33,14.93,152.94,10.0,11.0,3.0,5,21,10,4,1,0
2023-10-22,SKU10000,4,41.2,2,13.29,136.84,10.93,112.12,14.93,152.94,6.0,4.0,7.0,6,22,10,4,1,0
2023-10-23,SKU10000,24,244.12,11,13.14,134.93,12.07,123.79,13.7,140.13,4.0,25.0,8.0,0,23,10,4,0,0
2023-10-24,SKU10000,26,267.8,7,14.71,151.12,13.86,142.18,13.93,142.85,24.0,15.0,1.0,1,24,10,4,0,0
2023-10-25,SKU10000,33,339.9,16,17.29,177.6,15.0,153.95,14.83,152.12,26.0,15.0,17.0,2,25,10,4,0,0
2023-10-26,SKU10000,25,257.5,7,18.29,187.9,16.21,166.46,15.23,156.34,33.0,18.0,8.0,3,26,10,4,0,0
2023-10-27,SKU10000,6,61.8,4,17.71,182.02,15.86,162.78,14.97,153.75,25.0,10.0,11.0,4,27,10,4,0,0
2023-10-29,SKU10000,4,41.2,2,17.43,179.07,15.36,157.96,14.9,153.06,6.0,6.0,11.0,6,29,10,4,1,0
2023-10-30,SKU10000,7,72.1,2,17.86,183.49,15.57,160.17,14.77,151.69,4.0,4.0,4.0,0,30,10,4,0,0
2023-10-31,SKU10000,13,133.9,6,16.29,167.74,14.71,151.34,14.9,153.06,7.0,24.0,25.0,1,31,10,4,0,0
2023-11-01,SKU10000,23,236.89999999999998,7,15.86,163.33,15.29,157.22,13.33,136.92,13.0,26.0,15.0,2,1,11,4,0,0
2023-11-02,SKU10000,19,195.70000000000002,5,13.86,142.73,15.57,160.17,13.6,139.67,23.0,33.0,15.0,3,2,11,4,0,0
2023-11-03,SKU10000,5,51.5,1,11.0,113.3,14.64,150.6,12.87,132.22,19.0,25.0,18.0,4,3,11,4,0,0
2023-11-04,SKU10000,6,61.800000000000004,4,11.0,113.3,14.36,147.66,12.87,132.22,5.0,6.0,10.0,5,4,11,4,1,0
2023-11-05,SKU10000,8,79.32,4,11.57,118.75,14.5,148.91,12.5,128.34,6.0,4.0,6.0,6,5,11,4,1,0
2023-11-06,SKU10000,24,247.2,11,14.0,143.76,15.93,163.62,12.87,132.12,8.0,7.0,4.0,0,6,11,4,0,0
2023-11-07,SKU10000,14,144.2,5,14.14,145.23,15.21,156.49,13.23,135.89,24.0,13.0,24.0,1,7,11,4,0,0
2023-11-08,SKU10000,20,206.0,7,13.71,140.82,14.79,152.07,13.67,140.36,14.0,23.0,26.0,2,8,11,4,0,0
2023-11-09,SKU10000,13,133.9,6,12.86,131.99,13.36,137.36,13.83,142.12,20.0,19.0,33.0,3,9,11,4,0,0
2023-11-10,SKU10000,24,234.88,4,15.57,158.19,13.29,135.74,14.6,149.61,13.0,5.0,25.0,4,10,11,4,0,0
2023-11-11,SKU10000,11,104.06,3,16.29,164.22,13.64,138.76,14.4,147.24,24.0,6.0,6.0,5,11,11,4,1,0
2023-11-12,SKU10000,14,141.12,7,17.14,173.05,14.36,145.9,14.6,149.2,11.0,8.0,4.0,6,12,11,4,1,0
2023-11-13,SKU10000,27,278.1,6,17.57,177.47,15.79,160.61,15.13,154.69,14.0,24.0,7.0,0,13,11,4,0,0
2023-11-14,SKU10000,13,133.9,3,17.43,175.99,15.79,160.61,15.2,155.53,27.0,14.0,13.0,1,14,11,4,0,0
