sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU033,Furnishings,Rugs,2025-10-04,675.05,1739.0
SKU034,Kitchenware,Small Appliances,2023-11-11,359.01,759.0
SKU035,Kitchenware,Tableware,2025-07-11,1618.34,4289.0
SKU036,Home Decor,Mirrors,2024-04-28,1215.37,2699.0
SKU037,Kitchenware,Storage,2025-03-25,1588.83,4469.0
SKU038,Bed & Bath,Towels,2024-04-21,1096.43,3079.0
SKU039,Bed & Bath,Duvets,2024-07-02,1693.65,4189.0
SKU040,Bed & Bath,Pillows,2024-06-16,2022.04,3709.0
SKU041,Furnishings,Cushions,2024-11-25,1520.25,3799.0
SKU042,Kitchenware,Storage,2023-10-11,1763.78,3659.0
SKU043,Furnishings,Cushions,2025-10-11,1340.74,3729.0
SKU044,Home Decor,Candles,2025-08-08,1605.41,3609.0
SKU045,Furnishings,Rugs,2024-02-15,1204.34,3349.0
SKU046,Kitchenware,Storage,2024-01-12,1296.59,3389.0
SKU047,Furnishings,Throws,2024-05-08,1970.38,4059.0
SKU048,Bed & Bath,Sheets,2025-02-10,1770.28,4549.0
SKU049,Home Decor,Candles,2024-07-17,904.07,1879.0
SKU050,Home Decor,Candles,2024-02-12,1914.6,3749.0
SKU051,Furnishings,Throws,2025-12-08,1404.14,3739.0
SKU052,Home Decor,Candles,2026-01-11,413.27,779.0
SKU053,Home Decor,Candles,2025-12-28,297.4,549.0
SKU054,Kitchenware,Small Appliances,2023-10-05,342.99,729.0
SKU055,Furnishings,Rugs,2025-02-09,2543.9,4669.0
SKU056,Kitchenware,Small Appliances,2025-07-04,1837.26,3879.0
SKU057,Furnishings,Curtains,2026-02-13,1702.77,4489.0
SKU058,Home Decor,Wall Art,2024-12-24,758.7,2069.0
SKU059,Kitchenware,Tableware,2024-02-19,937.32,2339.0
SKU060,Home Decor,Candles,2025-09-04,1648.46,3039.0
SKU061,Home Decor,Vases,2025-09-22,2219.97,4069.0
SKU062,Furnishings,Rugs,2025-01-23,1594.14,3259.0
SKU063,Bed & Bath,Duvets,2024-01-20,2491.46,4599.0
SKU064,Furnishings,Throws,2024-03-12,914.33,1959.0
SKU065,Bed & Bath,Towels,2024-02-21,1048.87,2229.0
SKU066,Kitchenware,Small Appliances,2025-08-02,1059.56,2069.0
SKU067,Kitchenware,Small Appliances,2024-07-12,1947.56,4199.0
SKU068,Bed & Bath,Sheets,2025-12-19,1642.28,3859.0
SKU069,Bed & Bath,Sheets,2024-01-04,663.06,1369.0
SKU070,Kitchenware,Storage,2024-02-10,1782.89,4849.0
SKU071,Bed & Bath,Pillows,2025-01-03,1575.03,3209.0
SKU072,Kitchenware,Tableware,2025-07-08,361.06,729.0
SKU073,Furnishings,Curtains,2023-09-26,2348.04,4349.0
SKU074,Home Decor,Vases,2026-01-30,755.83,1929.0
SKU075,Home Decor,Candles,2024-10-10,381.17,1009.0
SKU076,Bed & Bath,Sheets,2024-01-15,1235.23,3129.0
SKU077,Home Decor,Vases,2025-04-02,384.23,869.0
SKU078,Kitchenware,Small Appliances,2025-04-11,442.05,1039.0
SKU079,Home Decor,Candles,2024-03-18,542.42,1279.0
SKU080,Kitchenware,Tableware,2024-02-23,447.95,919.0
SKU081,Kitchenware,Tableware,2024-06-21,804.64,2169.0
SKU082,Kitchenware,Tableware,2024-08-11,2099.39,4479.0
SKU083,Kitchenware,Small Appliances,2025-03-10,1734.96,3759.0
SKU084,Furnishings,Curtains,2025-03-02,1098.01,2639.0
SKU085,Kitchenware,Tableware,2023-12-05,406.29,1049.0
SKU086,Kitchenware,Storage,2024-03-29,2053.26,4159.0
SKU087,Furnishings,Rugs,2025-08-01,791.42,1819.0
SKU088,Kitchenware,Cookware,2025-06-28,1937.71,4679.0
SKU089,Kitchenware,Cookware,2024-06-10,2051.22,4949.0
SKU090,Home Decor,Vases,2024-12-10,1190.69,2219.0
SKU091,Bed & Bath,Sheets,2023-11-25,1554.58,2999.0
SKU092,Home Decor,Wall Art,2024-07-21,1743.03,3279.0
SKU093,Furnishings,Throws,2025-01-16,915.61,2069.0
SKU094,Bed & Bath,Pillows,2026-02-03,241.05,609.0
SKU095,Bed & Bath,Pillows,2024-05-14,482.86,949.0
SKU096,Home Decor,Wall Art,2025-08-30,1498.98,3959.0
SKU097,Bed & Bath,Towels,2025-07-29,1547.67,4159.0
SKU098,Home Decor,Candles,2024-06-25,1384.74,3929.0
SKU099,Bed & Bath,Pillows,2024-09-10,610.91,1149.0
SKU100,Kitchenware,Cookware,2024-07-06,308.53,769.0
SKU101,Furnishings,Throws,2025-11-28,2274.91,4629.0
SKU102,Kitchenware,Storage,2024-07-09,1715.12,4579.0
SKU103,Kitchenware,Small Appliances,2024-05-22,1991.59,4389.0
SKU104,Kitchenware,Cookware,2023-12-29,1175.56,2249.0
SKU105,Kitchenware,Small Appliances,2025-09-16,594.22,1349.0
SKU106,Home Decor,Wall Art,2023-10-14,630.04,1599.0
SKU107,Furnishings,Rugs,2024-04-12,825.54,2249.0
SKU108,Bed & Bath,Pillows,2025-05-13,860.23,1939.0
SKU109,Furnishings,Cushions,2025-09-01,1735.75,3939.0
SKU110,Furnishings,Rugs,2024-01-26,324.92,649.0
SKU111,Furnishings,Rugs,2023-12-02,1762.85,3659.0
SKU112,Furnishings,Curtains,2024-07-18,1571.4,2979.0
SKU113,Furnishings,Throws,2024-12-17,2228.79,4319.0
SKU114,Home Decor,Candles,2025-06-02,461.73,879.0
SKU115,Bed & Bath,Sheets,2024-11-28,647.0,1519.0
SKU116,Bed & Bath,Duvets,2025-10-07,1476.1,3959.0
SKU117,Furnishings,Throws,2024-09-08,161.09,399.0
SKU118,Kitchenware,Storage,2023-12-30,2211.26,4529.0
SKU119,Home Decor,Vases,2025-10-12,732.27,1589.0
SKU120,Bed & Bath,Sheets,2024-02-24,1496.15,3739.0
SKU121,Home Decor,Wall Art,2024-08-15,952.49,2099.0
SKU122,Bed & Bath,Towels,2024-05-07,1849.93,4229.0
SKU123,Bed & Bath,Towels,2026-01-04,1837.25,3419.0
SKU124,Furnishings,Cushions,2025-08-25,1824.29,4789.0
SKU125,Home Decor,Mirrors,2026-01-31,1282.11,2629.0
SKU126,Bed & Bath,Towels,2023-12-18,909.93,1779.0
SKU127,Bed & Bath,Sheets,2024-01-28,1494.55,2849.0
SKU128,Furnishings,Rugs,2024-11-10,1631.55,3339.0
SKU129,Kitchenware,Storage,2025-07-07,532.66,1149.0
SKU130,Furnishings,Curtains,2025-03-07,2015.51,4039.0
SKU131,Kitchenware,Small Appliances,2025-12-06,515.9,1379.0
SKU132,Bed & Bath,Pillows,2025-02-10,1364.51,2829.0
SKU133,Kitchenware,Storage,2025-01-24,214.32,409.0
SKU134,Home Decor,Vases,2025-06-15,213.61,479.0
SKU135,Kitchenware,Tableware,2024-04-24,1133.84,2279.0
SKU136,Kitchenware,Cookware,2023-12-18,2151.2,4939.0
SKU137,Bed & Bath,Towels,2023-12-28,710.45,1519.0
SKU138,Bed & Bath,Duvets,2024-11-06,1579.21,3349.0
SKU139,Home Decor,Vases,2026-01-19,2131.93,4179.0
SKU140,Furnishings,Cushions,2025-12-15,532.54,1349.0
SKU141,Kitchenware,Small Appliances,2024-06-03,582.27,1549.0
SKU142,Kitchenware,Storage,2025-09-19,156.04,319.0
SKU143,Furnishings,Throws,2026-02-02,342.84,659.0
SKU144,Furnishings,Curtains,2025-08-10,2165.47,4359.0
SKU145,Home Decor,Candles,2025-04-03,1877.65,3629.0
SKU146,Home Decor,Candles,2025-01-01,163.96,319.0
SKU147,Furnishings,Curtains,2025-08-02,941.07,2679.0
SKU148,Kitchenware,Storage,2024-12-14,365.6,899.0
SKU149,Bed & Bath,Duvets,2025-08-30,1733.58,4679.0
SKU150,Furnishings,Curtains,2025-11-14,910.83,2519.0
SKU151,Furnishings,Cushions,2025-02-26,1436.01,3819.0
SKU152,Furnishings,Cushions,2024-03-06,114.15,299.0
SKU153,Home Decor,Wall Art,2023-10-12,1969.12,4029.0
SKU154,Bed & Bath,Sheets,2025-05-15,222.82,449.0
SKU155,Kitchenware,Small Appliances,2023-10-04,2124.35,4919.0
SKU156,Furnishings,Throws,2026-01-13,1155.33,2519.0
SKU157,Home Decor,Mirrors,2025-02-20,2143.91,4269.0
SKU158,Furnishings,Curtains,2023-10-02,140.43,299.0
SKU159,Kitchenware,Storage,2025-11-17,279.37,599.0
SKU160,Home Decor,Vases,2025-09-29,1176.53,2159.0
SKU161,Home Decor,Mirrors,2025-12-16,218.14,489.0
SKU162,Home Decor,Vases,2025-08-01,1720.0,4719.0
SKU163,Home Decor,Wall Art,2023-10-25,812.96,2159.0
SKU164,Furnishings,Rugs,2026-03-05,465.21,879.0
SKU165,Furnishings,Rugs,2025-04-30,2162.98,4389.0
SKU166,Furnishings,Throws,2025-11-07,1775.35,3979.0
SKU167,Bed & Bath,Towels,2025-05-17,557.21,1459.0
SKU168,Home Decor,Candles,2024-03-21,190.78,499.0
SKU169,Home Decor,Candles,2025-12-11,602.21,1239.0
SKU170,Home Decor,Candles,2024-03-12,2035.75,4279.0
SKU171,Furnishings,Curtains,2025-11-17,1321.49,3019.0
SKU172,Bed & Bath,Towels,2024-06-09,687.16,1629.0
SKU173,Bed & Bath,Sheets,2024-07-23,1945.88,3659.0
SKU174,Kitchenware,Cookware,2026-02-28,327.13,759.0
SKU175,Kitchenware,Small Appliances,2026-01-07,1163.36,2139.0
SKU176,Bed & Bath,Pillows,2024-07-17,990.09,2379.0
SKU177,Home Decor,Wall Art,2024-08-15,1571.85,3199.0
SKU178,Furnishings,Rugs,2025-03-12,1585.34,3609.0
SKU179,Home Decor,Mirrors,2026-02-22,259.6,569.0
SKU180,Bed & Bath,Sheets,2025-06-11,1486.82,3049.0
SKU181,Bed & Bath,Towels,2025-08-03,1727.3,3299.0
SKU182,Bed & Bath,Duvets,2023-10-04,521.29,969.0
SKU183,Home Decor,Candles,2025-12-18,1245.71,2379.0
SKU184,Kitchenware,Tableware,2023-10-15,2195.75,4199.0
SKU185,Kitchenware,Storage,2026-01-20,630.65,1309.0
SKU186,Furnishings,Curtains,2024-01-23,2397.13,4369.0
SKU187,Home Decor,Candles,2024-07-08,913.48,2199.0
SKU188,Home Decor,Candles,2024-03-19,810.41,1689.0
SKU189,Bed & Bath,Pillows,2025-05-13,936.2,2129.0
SKU190,Furnishings,Curtains,2025-12-19,1741.39,3869.0
SKU191,Kitchenware,Storage,2025-05-25,897.78,2089.0
SKU192,Kitchenware,Tableware,2024-07-03,1414.3,2749.0
SKU193,Furnishings,Cushions,2024-01-15,1686.81,4659.0
SKU194,Home Decor,Mirrors,2024-06-04,2131.17,4669.0
SKU195,Kitchenware,Tableware,2024-12-10,838.23,2239.0
SKU196,Home Decor,Vases,2023-12-13,841.0,2289.0
SKU197,Kitchenware,Small Appliances,2024-03-18,1607.8,3129.0
SKU198,Home Decor,Wall Art,2023-11-06,1807.94,3919.0
SKU199,Bed & Bath,Duvets,2024-05-07,1269.36,3439.0
SKU200,Furnishings,Curtains,2023-12-30,1087.26,2819.0
