sku_id,week_start,type,value,baseline,ci_lower,ci_upper,step
SKU003,2025-06-09,actual,4.0,5.75,4.0,4.0,0
SKU003,2025-06-16,actual,3.0,4.5,3.0,3.0,0
SKU003,2025-06-23,actual,5.0,4.5,5.0,5.0,0
SKU003,2025-06-30,actual,4.0,4.5,4.0,4.0,0
SKU003,2025-07-07,actual,3.0,4.0,3.0,3.0,0
SKU003,2025-07-14,actual,4.0,3.75,4.0,4.0,0
SKU003,2025-07-21,actual,3.0,4.0,3.0,3.0,0
SKU003,2025-07-28,actual,1.0,3.5,1.0,1.0,0
SKU003,2025-08-04,actual,4.0,2.75,4.0,4.0,0
SKU003,2025-08-11,actual,5.0,3.0,5.0,5.0,0
SKU003,2025-08-18,actual,3.0,3.25,3.0,3.0,0
SKU003,2025-08-25,actual,1.0,1.0,1.0,1.0,0
SKU003,2025-09-01,actual,1.0,2.0,1.0,1.0,0
SKU003,2025-09-08,actual,1.0,1.0,1.0,1.0,0
SKU003,2025-09-15,actual,6.0,4.0,6.0,6.0,0
SKU003,2025-09-22,actual,3.0,5.0,3.0,3.0,0
SKU003,2025-09-29,actual,3.0,1.0,3.0,3.0,0
SKU003,2025-10-06,actual,5.0,1.0,5.0,5.0,0
SKU003,2025-10-13,actual,0.0,2.0,0.0,0.0,0
SKU003,2025-10-20,actual,8.0,10.0,8.0,8.0,0
SKU003,2025-10-27,actual,0.0,6.0,0.0,0.0,0
SKU003,2025-11-03,actual,3.0,3.0,3.0,3.0,0
SKU003,2025-11-10,actual,7.0,8.0,7.0,7.0,0
SKU003,2025-11-17,actual,3.0,1.0,3.0,3.0,0
SKU003,2025-11-24,actual,3.0,4.0,3.0,3.0,0
SKU003,2025-12-01,actual,4.0,5.0,4.0,4.0,0
SKU003,2025-12-08,actual,3.0,4.0,3.0,3.0,0
SKU003,2025-12-15,actual,2.0,3.0,2.0,2.0,0
SKU003,2025-12-22,actual,6.0,8.0,6.0,6.0,0
SKU003,2025-12-29,actual,5.0,8.0,5.0,5.0,0
SKU003,2026-01-05,actual,10.0,2.0,10.0,10.0,0
SKU003,2026-01-12,actual,5.0,2.0,5.0,5.0,0
SKU003,2026-01-19,actual,9.0,6.0,9.0,9.0,0
SKU003,2026-01-26,actual,8.0,5.0,8.0,8.0,0
SKU003,2026-02-02,actual,2.0,5.0,2.0,2.0,0
SKU003,2026-02-09,actual,4.0,5.0,4.0,4.0,0
SKU003,2026-02-16,actual,3.0,8.0,3.0,3.0,0
SKU003,2026-02-23,actual,4.0,3.0,4.0,4.0,0
SKU003,2026-03-02,actual,6.0,5.0,6.0,6.0,0
SKU003,2026-03-09,actual,5.0,4.0,5.0,5.0,0
SKU003,2026-03-16,actual,10.0,1.0,10.0,10.0,0
SKU003,2026-03-23,actual,5.0,6.0,5.0,5.0,0
SKU003,2026-03-30,actual,8.0,6.0,8.0,8.0,0
SKU003,2026-04-06,actual,3.0,5.0,3.0,3.0,0
SKU003,2026-04-13,actual,4.0,3.0,4.0,4.0,0
SKU003,2026-04-20,actual,6.0,2.0,6.0,6.0,0
SKU003,2026-04-27,actual,8.0,9.0,8.0,8.0,0
SKU003,2026-05-04,actual,13.0,4.0,13.0,13.0,0
SKU003,2026-05-11,actual,4.0,9.0,4.0,4.0,0
SKU003,2026-05-18,actual,4.0,3.0,4.0,4.0,0
SKU003,2026-05-25,actual,5.0,5.0,5.0,5.0,0
SKU003,2026-06-01,actual,7.0,6.0,7.0,7.0,0
SKU003,2026-06-08,actual,4.0,4.0,4.0,4.0,0
SKU003,2026-06-15,actual,3.0,3.0,3.0,3.0,0
SKU004,2025-07-07,actual,4.0,0.0,4.0,4.0,0
SKU004,2025-07-14,actual,19.0,4.0,19.0,19.0,0
SKU004,2025-07-21,actual,28.0,11.5,28.0,28.0,0
SKU004,2025-07-28,actual,41.0,17.0,41.0,41.0,0
SKU004,2025-08-04,actual,30.0,23.0,30.0,30.0,0
SKU004,2025-08-11,actual,39.0,29.5,39.0,39.0,0
SKU004,2025-08-18,actual,35.0,34.5,35.0,35.0,0
SKU004,2025-08-25,actual,29.0,36.25,29.0,29.0,0
SKU004,2025-09-01,actual,31.0,33.25,31.0,31.0,0
SKU004,2025-09-08,actual,36.0,33.5,36.0,36.0,0
SKU004,2025-09-15,actual,26.0,32.75,26.0,26.0,0
SKU004,2025-09-22,actual,35.0,30.5,35.0,35.0,0
SKU004,2025-09-29,actual,37.0,32.0,37.0,37.0,0
SKU004,2025-10-06,actual,21.0,33.5,21.0,21.0,0
SKU004,2025-10-13,actual,32.0,29.75,32.0,32.0,0
SKU004,2025-10-20,actual,43.0,31.25,43.0,43.0,0
SKU004,2025-10-27,actual,28.0,33.25,28.0,28.0,0
SKU004,2025-11-03,actual,26.0,31.0,26.0,26.0,0
SKU004,2025-11-10,actual,27.0,32.25,27.0,27.0,0
SKU004,2025-11-17,actual,25.0,31.0,25.0,25.0,0
SKU004,2025-11-24,actual,28.0,26.5,28.0,28.0,0
SKU004,2025-12-01,actual,23.0,26.5,23.0,23.0,0
SKU004,2025-12-08,actual,33.0,25.75,33.0,33.0,0
SKU004,2025-12-15,actual,22.0,27.25,22.0,22.0,0
SKU004,2025-12-22,actual,30.0,26.5,30.0,30.0,0
SKU004,2025-12-29,actual,19.0,27.0,19.0,19.0,0
SKU004,2026-01-05,actual,21.0,26.0,21.0,21.0,0
SKU004,2026-01-12,actual,16.0,23.0,16.0,16.0,0
SKU004,2026-01-19,actual,16.0,21.5,16.0,16.0,0
SKU004,2026-01-26,actual,16.0,18.0,16.0,16.0,0
SKU004,2026-02-02,actual,16.0,17.25,16.0,16.0,0
SKU004,2026-02-09,actual,14.0,16.0,14.0,14.0,0
SKU004,2026-02-16,actual,19.0,15.5,19.0,19.0,0
SKU004,2026-02-23,actual,15.0,16.25,15.0,15.0,0
SKU004,2026-03-02,actual,27.0,16.0,27.0,27.0,0
SKU004,2026-03-09,actual,14.0,18.75,14.0,14.0,0
SKU004,2026-03-16,actual,14.0,18.75,14.0,14.0,0
SKU004,2026-03-23,actual,19.0,17.5,19.0,19.0,0
SKU004,2026-03-30,actual,16.0,18.5,16.0,16.0,0
SKU004,2026-04-06,actual,22.0,15.75,22.0,22.0,0
SKU004,2026-04-13,actual,18.0,17.75,18.0,18.0,0
SKU004,2026-04-20,actual,16.0,18.75,16.0,16.0,0
SKU004,2026-04-27,actual,21.0,18.0,21.0,21.0,0
SKU004,2026-05-04,actual,30.0,19.25,30.0,30.0,0
SKU004,2026-05-11,actual,22.0,21.25,22.0,22.0,0
SKU004,2026-05-18,actual,24.0,22.25,24.0,24.0,0
SKU004,2026-05-25,actual,12.0,24.25,12.0,12.0,0
SKU004,2026-06-01,actual,32.0,22.0,32.0,32.0,0
SKU004,2026-06-08,actual,26.0,22.5,26.0,26.0,0
SKU004,2026-06-15,actual,34.0,23.5,34.0,34.0,0
SKU005,2025-04-28,actual,6.0,0.0,6.0,6.0,0
SKU005,2025-05-05,actual,10.0,6.0,10.0,10.0,0
SKU005,2025-05-12,actual,9.0,8.0,9.0,9.0,0
SKU005,2025-05-19,actual,2.0,8.333333333333334,2.0,2.0,0
SKU005,2025-05-26,actual,9.0,6.75,9.0,9.0,0
SKU005,2025-06-02,actual,4.0,7.5,4.0,4.0,0
SKU005,2025-06-09,actual,5.0,6.0,5.0,5.0,0
SKU005,2025-06-16,actual,6.0,5.0,6.0,6.0,0
SKU005,2025-06-23,actual,3.0,6.0,3.0,3.0,0
SKU005,2025-06-30,actual,8.0,4.5,8.0,8.0,0
SKU005,2025-07-07,actual,2.0,5.5,2.0,2.0,0
SKU005,2025-07-14,actual,4.0,4.75,4.0,4.0,0
SKU005,2025-07-21,actual,3.0,4.25,3.0,3.0,0
SKU005,2025-07-28,actual,2.0,4.25,2.0,2.0,0
SKU005,2025-08-04,actual,4.0,2.75,4.0,4.0,0
SKU005,2025-08-11,actual,3.0,3.25,3.0,3.0,0
SKU005,2025-08-18,actual,7.0,3.0,7.0,7.0,0
SKU005,2025-08-25,actual,3.0,4.0,3.0,3.0,0
SKU005,2025-09-01,actual,2.0,4.25,2.0,2.0,0
SKU005,2025-09-08,actual,9.0,3.75,9.0,9.0,0
SKU005,2025-09-15,actual,4.0,5.25,4.0,4.0,0
SKU005,2025-09-22,actual,5.0,4.5,5.0,5.0,0
SKU005,2025-09-29,actual,1.0,5.0,1.0,1.0,0
SKU005,2025-10-06,actual,2.0,4.75,2.0,2.0,0
SKU005,2025-10-13,actual,1.0,3.0,1.0,1.0,0
SKU005,2025-10-20,actual,10.0,2.25,10.0,10.0,0
SKU005,2025-10-27,actual,9.0,3.5,9.0,9.0,0
SKU005,2025-11-03,actual,10.0,5.5,10.0,10.0,0
SKU005,2025-11-10,actual,4.0,7.5,4.0,4.0,0
SKU005,2025-11-17,actual,2.0,8.25,2.0,2.0,0
SKU005,2025-11-24,actual,4.0,6.25,4.0,4.0,0
SKU005,2025-12-01,actual,5.0,5.0,5.0,5.0,0
SKU005,2025-12-08,actual,6.0,3.75,6.0,6.0,0
SKU005,2025-12-15,actual,7.0,4.25,7.0,7.0,0
SKU005,2025-12-22,actual,9.0,5.5,9.0,9.0,0
SKU005,2025-12-29,actual,8.0,6.75,8.0,8.0,0
SKU005,2026-01-05,actual,5.0,7.5,5.0,5.0,0
SKU005,2026-01-12,actual,1.0,7.25,1.0,1.0,0
SKU005,2026-01-19,actual,0.0,5.75,0.0,0.0,0
SKU005,2026-01-26,actual,6.0,3.5,6.0,6.0,0
SKU005,2026-02-02,actual,6.0,3.0,6.0,6.0,0
SKU005,2026-02-09,actual,5.0,3.25,5.0,5.0,0
SKU005,2026-02-16,actual,7.0,4.25,7.0,7.0,0
SKU005,2026-02-23,actual,5.0,6.0,5.0,5.0,0
SKU005,2026-03-02,actual,6.0,5.75,6.0,6.0,0
SKU005,2026-03-09,actual,9.0,5.75,9.0,9.0,0
SKU005,2026-03-16,actual,6.0,6.75,6.0,6.0,0
SKU005,2026-03-23,actual,3.0,6.5,3.0,3.0,0
SKU005,2026-03-30,actual,5.0,6.0,5.0,5.0,0
SKU005,2026-04-06,actual,3.0,5.75,3.0,3.0,0
SKU005,2026-04-13,actual,6.0,4.25,6.0,6.0,0
SKU005,2026-04-20,actual,9.0,4.25,9.0,9.0,0
SKU005,2026-04-27,actual,9.0,6.0,9.0,9.0,0
SKU005,2026-05-04,actual,13.0,10.0,13.0,13.0,0
SKU005,2026-05-11,actual,6.0,9.0,6.0,6.0,0
SKU005,2026-05-18,actual,5.0,2.0,5.0,5.0,0
SKU005,2026-05-25,actual,2.0,9.0,2.0,2.0,0
SKU005,2026-06-01,actual,7.0,4.0,7.0,7.0,0
SKU005,2026-06-08,actual,7.0,5.0,7.0,7.0,0
SKU005,2026-06-15,actual,5.0,6.0,5.0,5.0,0
SKU006,2026-02-02,actual,9.0,0.0,9.0,9.0,0
SKU006,2026-02-09,actual,30.0,9.0,30.0,30.0,0
SKU006,2026-02-16,actual,26.0,19.5,26.0,26.0,0
SKU006,2026-02-23,actual,44.0,21.666666666666668,44.0,44.0,0
SKU006,2026-03-02,actual,35.0,27.25,35.0,35.0,0
SKU006,2026-03-09,actual,40.0,33.75,40.0,40.0,0
SKU006,2026-03-16,actual,32.0,36.25,32.0,32.0,0
SKU006,2026-03-23,actual,43.0,37.75,43.0,43.0,0
SKU006,2026-03-30,actual,44.0,37.5,44.0,44.0,0
SKU006,2026-04-06,actual,53.0,39.75,53.0,53.0,0
SKU006,2026-04-13,actual,39.0,43.0,39.0,39.0,0
SKU006,2026-04-20,actual,34.0,44.75,34.0,34.0,0
SKU006,2026-04-27,actual,46.0,42.5,46.0,46.0,0
SKU006,2026-05-04,actual,63.0,43.0,63.0,63.0,0
SKU006,2026-05-11,actual,38.0,45.5,38.0,38.0,0
SKU006,2026-05-18,actual,38.0,45.25,38.0,38.0,0
SKU006,2026-05-25,actual,41.0,46.25,41.0,41.0,0
SKU006,2026-06-01,actual,38.0,45.0,38.0,38.0,0
SKU006,2026-06-08,actual,49.0,38.75,49.0,49.0,0
SKU006,2026-06-15,actual,33.0,41.5,33.0,33.0,0
SKU007,2024-05-27,actual,1.0,0.0,1.0,1.0,0
SKU007,2024-06-03,actual,8.0,1.0,8.0,8.0,0
SKU007,2024-06-10,actual,9.0,4.5,9.0,9.0,0
SKU007,2024-06-17,actual,2.0,6.0,2.0,2.0,0
SKU007,2024-06-24,actual,2.0,5.0,2.0,2.0,0
SKU007,2024-07-01,actual,4.0,5.25,4.0,4.0,0
SKU007,2024-07-08,actual,7.0,4.25,7.0,7.0,0
SKU007,2024-07-15,actual,7.0,3.75,7.0,7.0,0
SKU007,2024-07-22,actual,6.0,5.0,6.0,6.0,0
SKU007,2024-07-29,actual,10.0,6.0,10.0,10.0,0
SKU007,2024-08-05,actual,11.0,7.5,11.0,11.0,0
SKU007,2024-08-12,actual,12.0,8.5,12.0,12.0,0
SKU007,2024-08-19,actual,4.0,9.75,4.0,4.0,0
SKU007,2024-08-26,actual,1.0,9.25,1.0,1.0,0
SKU007,2024-09-02,actual,3.0,7.0,3.0,3.0,0
SKU007,2024-09-09,actual,3.0,5.0,3.0,3.0,0
SKU007,2024-09-16,actual,3.0,2.75,3.0,3.0,0
SKU007,2024-09-23,actual,1.0,2.5,1.0,1.0,0
SKU007,2024-09-30,actual,3.0,2.5,3.0,3.0,0
