sku_id,category,subcategory,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_demand,projected_stock,forward_demand,stockout_risk,overstock_risk,quadrant,recommended_action,rupee_impact,impact_type,list_price,unit_cost
SKU027,Bed & Bath,Sheets,11,0,7,45,19.87,-8.87,158.69,1.0,0.023105845778982084,REORDER NOW,Raise a replenishment order immediately.,243438.53,revenue_at_risk,4519.0,2129.74
SKU028,Kitchenware,Tableware,90,0,14,52,36.04,53.96,120.32,0.48115384615384615,0.2493351063829787,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2409.0,1322.28
SKU029,Furnishings,Throws,10,0,7,14,8.11,1.89,78.78,0.9325,0.042311923500042314,REORDER NOW,Raise a replenishment order immediately.,46005.89,revenue_at_risk,3799.0,1877.42
SKU030,Kitchenware,Tableware,60,0,14,33,28.31,31.69,116.42,0.5198484848484849,0.17179178835251674,REORDER NOW,Raise a replenishment order immediately.,2815.19,revenue_at_risk,2149.0,1135.55
SKU031,Home Decor,Mirrors,88,0,21,43,31.74,56.26,85.05,0.34581395348837213,0.34489515970997453,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4359.0,1726.33
SKU032,Home Decor,Vases,74,0,7,36,22.02,51.98,213.49,0.2780555555555555,0.11554015020219525,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,369.0,197.66
SKU033,Furnishings,Rugs,234,0,28,54,31.52,202.48,66.97,0.0,1.0,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,112753.6,locked_capital,1739.0,675.05
SKU034,Kitchenware,Small Appliances,19,35,21,35,29.63,24.37,88.93,0.6518571428571428,0.0712170621087747,REORDER NOW,Raise a replenishment order immediately.,8068.17,revenue_at_risk,759.0,359.01
SKU035,Kitchenware,Tableware,41,0,7,16,7.92,33.08,76.52,0.0,0.17860254399721207,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4289.0,1618.34
SKU036,Home Decor,Mirrors,14,32,21,27,24.0,22.0,72.62,0.5925925925925926,0.06426145230882217,REORDER NOW,Raise a replenishment order immediately.,13495.0,revenue_at_risk,2699.0,1215.37
SKU037,Kitchenware,Storage,160,0,21,72,49.63,110.37,119.87,0.23354166666666665,0.4449264480965491,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4469.0,1588.83
SKU038,Bed & Bath,Towels,370,0,28,51,40.47,329.53,77.93,0.0,1.0,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,320234.31,locked_capital,3079.0,1096.43
SKU039,Bed & Bath,Duvets,12,31,14,30,21.47,21.53,79.89,0.6411666666666667,0.050068844661409435,REORDER NOW,Raise a replenishment order immediately.,35480.83,revenue_at_risk,4189.0,1693.65
SKU040,Bed & Bath,Pillows,69,0,7,40,22.03,46.97,188.85,0.412875,0.12178978024887477,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3709.0,2022.04
SKU041,Furnishings,Cushions,21,0,7,14,6.78,14.22,75.71,0.49214285714285716,0.09245806366398097,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3799.0,1520.25
SKU042,Kitchenware,Storage,368,0,14,124,103.1,264.9,469.17,0.0,0.26145462554440113,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3659.0,1763.78
SKU043,Furnishings,Cushions,439,0,28,178,140.31,298.69,283.69,0.16098314606741576,0.5158212602958628,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,208230.33,locked_capital,3729.0,1340.74
SKU044,Home Decor,Candles,90,0,14,36,28.76,61.24,110.35,0.14944444444444444,0.2718622564567286,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3609.0,1605.41
SKU045,Furnishings,Rugs,33,0,7,19,11.35,21.65,85.92,0.4302631578947369,0.12802607076350092,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3349.0,1204.34
SKU046,Kitchenware,Storage,191,0,21,81,54.81,136.19,153.96,0.159320987654321,0.41352732311422874,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3389.0,1296.59
SKU047,Furnishings,Throws,17,0,21,37,32.19,-15.19,96.84,1.0,0.058515764835467436,REORDER NOW,Raise a replenishment order immediately.,211839.21,revenue_at_risk,4059.0,1970.38
SKU048,Bed & Bath,Sheets,469,0,21,170,139.33,329.67,400.69,0.030382352941176582,0.39016030680409625,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4549.0,1770.28
SKU049,Home Decor,Candles,25,39,14,36,20.16,43.84,77.74,0.3911111111111111,0.10719492324843495,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1879.0,904.07
SKU050,Home Decor,Candles,135,0,14,67,50.16,84.84,217.29,0.366865671641791,0.2070965069722491,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3749.0,1914.6
SKU051,Furnishings,Throws,34,59,7,57,34.4,58.6,286.32,0.48596491228070177,0.03958275123405048,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3739.0,1404.14
SKU052,Home Decor,Candles,113,0,28,59,37.05,75.95,72.72,0.3563559322033898,0.517968463513018,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,16646.52,locked_capital,779.0,413.27
SKU053,Home Decor,Candles,279,0,28,113,86.93,192.07,167.11,0.1501327433628319,0.5565196577104902,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,33276.09,locked_capital,549.0,297.4
SKU054,Kitchenware,Small Appliances,107,0,28,60,43.43,63.57,87.61,0.47025,0.40710725564052813,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,729.0,342.99
SKU055,Furnishings,Rugs,47,0,21,25,23.77,23.23,74.09,0.5354,0.21145453727448596,REORDER NOW,Raise a replenishment order immediately.,8264.13,revenue_at_risk,4669.0,2543.9
SKU056,Kitchenware,Small Appliances,636,0,21,226,134.88,501.12,400.71,0.0,0.5290609168725512,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,432288.91,locked_capital,3879.0,1837.26
SKU057,Furnishings,Curtains,6,0,21,40,23.6,-17.6,65.71,1.0,0.03043676761527926,REORDER NOW,Raise a replenishment order immediately.,258566.4,revenue_at_risk,4489.0,1702.77
SKU058,Home Decor,Wall Art,69,0,28,26,25.76,43.24,62.82,0.16846153846153855,0.36612543775867556,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2069.0,758.7
SKU059,Kitchenware,Tableware,41,0,7,18,10.26,30.74,81.12,0.14611111111111108,0.16847468770545693,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2339.0,937.32
SKU060,Home Decor,Candles,415,0,21,52,28.47,386.53,72.7,0.0,1.0,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,564267.86,locked_capital,3039.0,1648.46
SKU061,Home Decor,Vases,34,0,21,67,44.96,-10.96,113.11,1.0,0.10019744791206202,REORDER NOW,Raise a replenishment order immediately.,317219.24,revenue_at_risk,4069.0,2219.97
SKU062,Furnishings,Rugs,176,0,21,66,44.64,131.36,116.49,0.004848484848484769,0.5036197670758578,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,94867.27,locked_capital,3259.0,1594.14
SKU063,Bed & Bath,Duvets,94,0,7,33,19.82,74.18,157.14,0.0,0.19939756480420856,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4599.0,2491.46
SKU064,Furnishings,Throws,121,0,21,77,63.68,57.32,196.31,0.6277922077922078,0.20545735486390573,REORDER NOW,Raise a replenishment order immediately.,38553.12,revenue_at_risk,1959.0,914.33
SKU065,Bed & Bath,Towels,492,0,21,74,57.4,434.6,186.67,0.0,0.8785557400760702,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,320251.48,locked_capital,2229.0,1048.87
SKU066,Kitchenware,Small Appliances,91,0,21,162,108.8,-17.8,295.49,1.0,0.10265434814488927,REORDER NOW,Raise a replenishment order immediately.,372006.2,revenue_at_risk,2069.0,1059.56
SKU067,Kitchenware,Small Appliances,124,0,14,67,53.99,70.01,213.99,0.4775373134328358,0.19315544340078195,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4199.0,1947.56
SKU068,Bed & Bath,Sheets,433,0,21,186,136.49,296.51,339.12,0.20293010752688173,0.4256113863332547,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3859.0,1642.28
SKU069,Bed & Bath,Sheets,36,0,21,46,36.33,-0.33,114.82,1.0,0.10451140916216688,REORDER NOW,Raise a replenishment order immediately.,63425.77,revenue_at_risk,1369.0,663.06
SKU070,Kitchenware,Storage,151,0,28,56,43.82,107.18,89.86,0.043035714285714344,0.5601305734846799,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,109005.89,locked_capital,4849.0,1782.89
SKU071,Bed & Bath,Pillows,31,0,21,87,73.81,-42.81,194.9,1.0,0.0530186420386523,REORDER NOW,Raise a replenishment order immediately.,416560.29,revenue_at_risk,3209.0,1575.03
SKU072,Kitchenware,Tableware,19,0,7,36,18.65,0.35,220.0,0.9951388888888888,0.02878787878787879,REORDER NOW,Raise a replenishment order immediately.,25988.85,revenue_at_risk,729.0,361.06
SKU073,Furnishings,Curtains,1029,0,28,218,163.81,865.19,340.11,0.0,1.0,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,1617541.28,locked_capital,4349.0,2348.04
SKU074,Home Decor,Vases,63,0,21,40,23.96,39.04,67.31,0.512,0.31198930322388946,REORDER NOW,Raise a replenishment order immediately.,1851.84,revenue_at_risk,1929.0,755.83
SKU075,Home Decor,Candles,116,0,14,50,38.4,77.6,199.15,0.22400000000000003,0.19415850698803247,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1009.0,381.17
SKU076,Bed & Bath,Sheets,4,17,14,20,19.86,1.14,78.04,0.9715,0.017085255424568596,REORDER NOW,Raise a replenishment order immediately.,59012.94,revenue_at_risk,3129.0,1235.23
SKU077,Home Decor,Vases,7,11,7,13,7.67,10.33,72.31,0.6026923076923076,0.032268473701193935,REORDER NOW,Raise a replenishment order immediately.,2320.23,revenue_at_risk,869.0,384.23
SKU078,Kitchenware,Small Appliances,82,0,28,33,31.83,50.17,70.41,0.2398484848484848,0.3882024333664726,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1039.0,442.05
SKU079,Home Decor,Candles,71,0,7,40,23.1,47.9,230.02,0.40125,0.1028896038025679,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1279.0,542.42
SKU080,Kitchenware,Tableware,151,0,28,65,50.53,100.47,91.87,0.22715384615384615,0.5478756213490076,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,26487.28,locked_capital,919.0,447.95
SKU081,Kitchenware,Tableware,20,47,21,37,29.89,37.11,85.75,0.49851351351351353,0.07774538386783285,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2169.0,804.64
SKU082,Kitchenware,Tableware,90,0,14,35,22.42,67.58,110.85,0.034571428571428586,0.2706359945872801,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4479.0,2099.39
SKU083,Kitchenware,Small Appliances,17,0,7,6,3.83,13.17,39.61,0.0,0.1430615164520744,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3759.0,1734.96
SKU084,Furnishings,Curtains,28,83,21,68,54.96,56.04,168.68,0.5879411764705882,0.05533159434036835,REORDER NOW,Raise a replenishment order immediately.,31562.44,revenue_at_risk,2639.0,1098.01
SKU085,Kitchenware,Tableware,11,45,7,59,32.23,23.77,225.36,0.7985593220338982,0.01627026387409774,REORDER NOW,Raise a replenishment order immediately.,36956.27,revenue_at_risk,1049.0,406.29
SKU086,Kitchenware,Storage,174,0,28,106,88.82,85.18,187.48,0.5982075471698113,0.3093663324087903,REORDER NOW,Raise a replenishment order immediately.,86590.38,revenue_at_risk,4159.0,2053.26
SKU087,Furnishings,Rugs,589,0,21,102,95.34,493.66,270.21,0.0,0.7265953640995275,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,252296.78,locked_capital,1819.0,791.42
SKU088,Kitchenware,Cookware,112,0,28,239,168.28,-56.28,346.65,1.0,0.10769748545603154,REORDER NOW,Raise a replenishment order immediately.,1381615.12,revenue_at_risk,4679.0,1937.71
SKU089,Kitchenware,Cookware,374,0,14,241,166.54,207.46,677.42,0.569585062240664,0.18403157076358342,REORDER NOW,Raise a replenishment order immediately.,165989.46,revenue_at_risk,4949.0,2051.22
SKU090,Home Decor,Vases,212,0,14,43,25.89,186.11,99.86,0.0,0.7076573870084785,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,133523.98,locked_capital,2219.0,1190.69
SKU091,Bed & Bath,Sheets,6,0,7,55,34.94,-28.94,235.15,1.0,0.008505209440782478,REORDER NOW,Raise a replenishment order immediately.,251736.06,revenue_at_risk,2999.0,1554.58
SKU092,Home Decor,Wall Art,64,106,14,88,59.79,110.21,243.8,0.37380681818181816,0.08750341810226962,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3279.0,1743.03
SKU093,Furnishings,Throws,21,0,14,12,9.87,11.13,59.04,0.53625,0.11856368563685638,REORDER NOW,Raise a replenishment order immediately.,1800.03,revenue_at_risk,2069.0,915.61
SKU094,Bed & Bath,Pillows,392,0,21,138,98.37,293.63,276.24,0.0,0.4730186311420021,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,609.0,241.05
SKU095,Bed & Bath,Pillows,141,274,28,238,224.69,190.31,488.81,0.6001890756302521,0.09615187905321086,REORDER NOW,Raise a replenishment order immediately.,45257.81,revenue_at_risk,949.0,482.86
SKU096,Home Decor,Wall Art,427,0,28,88,61.5,365.5,116.22,0.0,1.0,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,465853.0,locked_capital,3959.0,1498.98
SKU097,Bed & Bath,Towels,132,0,28,262,174.1,-42.1,422.53,1.0,0.10413461766028448,REORDER NOW,Raise a replenishment order immediately.,1264751.9,revenue_at_risk,4159.0,1547.67
SKU098,Home Decor,Candles,113,0,28,62,44.19,68.81,100.1,0.4450806451612903,0.37629037629037626,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3929.0,1384.74
SKU099,Bed & Bath,Pillows,55,0,21,32,22.52,32.48,75.25,0.49249999999999994,0.24363233665559247,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1149.0,610.91
SKU100,Kitchenware,Cookware,51,0,21,32,28.01,22.99,75.9,0.64078125,0.2239789196310935,REORDER NOW,Raise a replenishment order immediately.,6928.69,revenue_at_risk,769.0,308.53
SKU101,Furnishings,Throws,88,0,21,43,26.04,61.96,70.56,0.2795348837209302,0.41572184429327286,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4629.0,2274.91
SKU102,Kitchenware,Storage,37,0,14,116,85.38,-48.38,324.55,1.0,0.03800133518204694,REORDER NOW,Raise a replenishment order immediately.,752696.02,revenue_at_risk,4579.0,1715.12
SKU103,Kitchenware,Small Appliances,629,0,28,142,114.34,514.66,249.48,0.0,0.8404147293036182,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,755848.24,locked_capital,4389.0,1991.59
SKU104,Kitchenware,Cookware,89,0,28,40,39.46,49.54,83.99,0.38075000000000003,0.3532166527761241,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2249.0,1175.56
SKU105,Kitchenware,Small Appliances,240,0,21,85,58.97,181.03,157.37,0.0,0.508356103450467,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,49100.4,locked_capital,1349.0,594.22
SKU106,Home Decor,Wall Art,22,0,28,40,33.97,-11.97,76.12,1.0,0.09633911368015413,REORDER NOW,Raise a replenishment order immediately.,83100.03,revenue_at_risk,1599.0,630.04
SKU107,Furnishings,Rugs,80,0,7,18,9.1,70.9,84.08,0.0,0.3171582619727244,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2249.0,825.54
SKU108,Bed & Bath,Pillows,14,0,28,47,36.96,-22.96,76.38,1.0,0.06109801867853715,REORDER NOW,Raise a replenishment order immediately.,135652.44,revenue_at_risk,1939.0,860.23
SKU109,Furnishings,Cushions,96,0,7,13,6.93,89.07,67.67,0.0,0.472883109206443,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3939.0,1735.75
SKU110,Furnishings,Rugs,32,0,28,315,253.1,-221.1,550.59,1.0,0.019373157279766552,REORDER NOW,Raise a replenishment order immediately.,347928.9,revenue_at_risk,649.0,324.92
SKU111,Furnishings,Rugs,18,0,7,7,3.75,14.25,46.17,0.0,0.1299545159194282,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3659.0,1762.85
SKU112,Furnishings,Curtains,7,78,21,57,38.23,46.77,102.36,0.5897368421052632,0.022795362771916114,REORDER NOW,Raise a replenishment order immediately.,30475.17,revenue_at_risk,2979.0,1571.4
SKU113,Furnishings,Throws,12,0,14,23,12.51,-0.51,59.02,1.0,0.06777363605557439,REORDER NOW,Raise a replenishment order immediately.,101539.69,revenue_at_risk,4319.0,2228.79
SKU114,Home Decor,Candles,4,0,14,23,19.5,-15.5,87.53,1.0,0.015232872538939029,REORDER NOW,Raise a replenishment order immediately.,33841.5,revenue_at_risk,879.0,461.73
SKU115,Bed & Bath,Sheets,24,64,14,72,48.35,39.65,212.13,0.7246527777777777,0.03771272333003347,REORDER NOW,Raise a replenishment order immediately.,49139.65,revenue_at_risk,1519.0,647.0
SKU116,Bed & Bath,Duvets,41,0,7,14,8.21,32.79,68.72,0.0,0.19887466045789678,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3959.0,1476.1
SKU117,Furnishings,Throws,112,0,7,16,7.88,104.12,79.18,0.0,0.47149953692009766,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,399.0,161.09
SKU118,Kitchenware,Storage,256,0,14,147,93.42,162.58,376.34,0.4470068027210885,0.22674531894917718,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4529.0,2211.26
SKU119,Home Decor,Vases,339,0,14,129,75.29,263.71,288.84,0.0,0.3912200526242902,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1589.0,732.27
SKU120,Bed & Bath,Sheets,366,0,14,53,38.52,327.48,172.93,0.0,0.7054877696177644,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,288861.68,locked_capital,3739.0,1496.15
SKU121,Home Decor,Wall Art,144,0,28,68,53.33,90.67,105.81,0.3333088235294117,0.4536433229373405,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2099.0,952.49
SKU122,Bed & Bath,Towels,173,0,21,67,56.98,116.02,154.74,0.13417910447761194,0.37266813148938005,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4229.0,1849.93
SKU123,Bed & Bath,Towels,15,0,7,10,6.99,8.01,65.27,0.5995,0.07660487206986365,REORDER NOW,Raise a replenishment order immediately.,6803.81,revenue_at_risk,3419.0,1837.25
SKU124,Furnishings,Cushions,10,51,14,47,30.69,30.31,116.87,0.6775531914893618,0.028521719289238755,REORDER NOW,Raise a replenishment order immediately.,79928.41,revenue_at_risk,4789.0,1824.29
SKU125,Home Decor,Mirrors,71,0,14,29,17.81,53.19,70.1,0.08293103448275868,0.3376129339039468,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2629.0,1282.11
SKU126,Bed & Bath,Towels,47,0,7,20,8.76,38.24,86.62,0.04399999999999993,0.18086662048795507,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1779.0,909.93
SKU127,Bed & Bath,Sheets,1308,0,28,198,149.22,1158.78,320.25,0.0,1.0,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,1476241.76,locked_capital,2849.0,1494.55
SKU128,Furnishings,Rugs,14,38,7,44,28.17,23.83,202.44,0.7292045454545455,0.023052097740894423,REORDER NOW,Raise a replenishment order immediately.,67347.63,revenue_at_risk,3339.0,1631.55
SKU129,Kitchenware,Storage,127,0,21,49,41.9,85.1,109.69,0.13163265306122457,0.3859361230133406,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1149.0,532.66
SKU130,Furnishings,Curtains,194,0,7,33,19.6,174.4,147.33,0.0,0.43892395755560076,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4039.0,2015.51
SKU131,Kitchenware,Small Appliances,109,0,14,38,22.35,86.65,82.14,0.0,0.4423342261180099,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1379.0,515.9
SKU132,Bed & Bath,Pillows,180,0,7,61,30.89,149.11,298.42,0.0,0.20105891026070635,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2829.0,1364.51
SKU133,Kitchenware,Storage,214,0,21,81,59.2,154.8,161.91,0.0444444444444444,0.44057398143001253,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,409.0,214.32
SKU134,Home Decor,Vases,142,0,28,92,77.67,64.33,163.19,0.6503804347826088,0.2900504524378536,REORDER NOW,Raise a replenishment order immediately.,13253.93,revenue_at_risk,479.0,213.61
SKU135,Kitchenware,Tableware,73,0,21,33,26.94,46.06,74.6,0.3021212121212121,0.3261840929401251,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2279.0,1133.84
SKU136,Kitchenware,Cookware,80,0,28,43,36.9,43.1,75.88,0.49883720930232556,0.3514320857494289,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4939.0,2151.2
SKU137,Bed & Bath,Towels,547,0,21,210,140.85,406.15,391.01,0.03297619047619055,0.4663137345165938,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1519.0,710.45
SKU138,Bed & Bath,Duvets,28,50,21,39,28.54,49.46,78.57,0.3658974358974359,0.11879003860676256,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3349.0,1579.21
SKU139,Home Decor,Vases,55,0,7,29,13.35,41.65,112.39,0.28189655172413797,0.16312246047987664,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4179.0,2131.93
SKU140,Furnishings,Cushions,93,0,28,49,31.89,61.11,67.24,0.37642857142857145,0.4610350981558597,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1349.0,532.54
SKU141,Kitchenware,Small Appliances,194,0,28,90,67.5,126.5,130.37,0.2972222222222222,0.4960241364322058,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1549.0,582.27
SKU142,Kitchenware,Storage,19,36,14,34,21.51,33.49,73.95,0.5075,0.08564345278341222,REORDER NOW,Raise a replenishment order immediately.,162.69,revenue_at_risk,319.0,156.04
SKU143,Furnishings,Throws,184,0,21,77,58.77,125.23,157.56,0.18681818181818177,0.38926969620038926,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,659.0,342.84
SKU144,Furnishings,Curtains,144,0,7,76,31.42,112.58,272.34,0.25934210526315793,0.17625027539105528,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4359.0,2165.47
SKU145,Home Decor,Candles,137,0,28,59,39.18,97.82,82.79,0.17101694915254245,0.5515964085839675,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,101787.41,locked_capital,3629.0,1877.65
